,Name,View 3D,Model builder,Min,MD,MC,REM,QM,Imp,GPU,Comments,License,Website
0,AMBER[1],No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"High Performance MD, Comprehensive analysis tools","Proprietary, Free open source",AMBER MD
1,Abalone,Yes,Yes,Yes,Yes,Yes,Yes,I,Yes,Yes,"Biomolecular simulations, protein folding.","Proprietary, gratis, commercial",Agile Molecule
2,ADF,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,"Modeling suite: ReaxFF, UFF, QM-MM with Amber and Tripos force fields, DFT and semi-empirical methods, conformational analysis with RDKit; partly GPU-accelerated","Proprietary, commercial, gratis trial",SCM
3,Ascalaph Designer,Yes,Yes,Yes,Yes,Yes,Yes,I,Yes,Yes,"Molecular building (DNA, proteins, hydrocarbons, nanotubes), molecular dynamics, GPU acceleration",Mixed: free open source (GNU GPL) & commercial,Ascalaph Project
4,Avogadro,Yes,Yes,Yes,No,No,No,I,No,No,"Molecule building, editing (peptides, small molecules, crystals), conformational analysis, 2D/3D conversion; extensible interfaces to other tools",Free open source GNU GPL,Avogadro
5,BOSS,No,No,Yes,No,Yes,No,Yes,No,No,OPLS,Proprietary,Yale University
6,CHARMM,No,Yes,Yes,Yes,Yes,I,I,Yes,Yes,"Commercial version with multiple graphical front ends is sold by BIOVIA (as CHARMm), formerly Accelrys.","Proprietary, commercial",charmm.org
7,CHEMKIN,No,No,No,No,No,No,No,No,No,Chemical reaction kinetics.,Proprietary,CHEMKIN
8,CP2K,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,"CP2K can perform atomistic and molecular simulations of solid state, liquid and biological systems.",Free open source GNU GPLv2 or later,CP2K
9,Desmond,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,"High performance MD; has comprehensive GUI to build, visualize, and review results and calculation setup up and launch","Proprietary, commercial or gratis",D. E. Shaw Research Schrödinger
10,Discovery Studio,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,"Comprehensive life science modeling and simulation suite of applications focused on optimizing drug discovery process: small molecule simulations, QM-MM, pharmacophore modeling, QSAR, protein-ligand docking, protein homology modeling, sequence analysis, protein-protein docking, antibody modeling, etc.","Proprietary, trial available",Dassault Systèmes BIOVIA(formerly Accelrys)
11,fold.it,Y / I,Yes,Yes,Yes,Yes,Yes,I,No,No,"University of Washington and The Baker Labs; structure prediction, protein folding","Proprietary, commercial or gratis",fold.it download page
12,FoldX,I,Yes,Yes,No,No,No,No,No,No,"Energy calculations, protein design","Proprietary, commercial or gratis",CRG
13,GROMACS,No,No,Yes,Yes,No[2],Yes,I,Yes[3],Yes,High performance MD,Free open source GNU GPL,gromacs.org
14,GROMOS,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Intended for biomolecules,"Proprietary, commercial",GROMOS website
15,LAMMPS,Yes,Yes,Yes,Yes,Yes,Yes,I,Yes,Yes,Has potentials for soft and solid-state materials and coarse-grain systems,"Free open source, GNU GPLv2",Sandia
16,MacroModel,Yes,Yes,Yes,Yes,Yes,No,I,Yes,No,"OPLS-AA, MMFF, GBSA solvent model, conformational sampling, minimizing, MD. Includes the Maestro GUI which provides visualizing, molecule building, calculation setup, job launch and monitoring, project-level organizing of results, access to a suite of other modelling programs.",Proprietary,Schrödinger
