,Package name,Licensing,Implementation language,Last update (year),More info
0,AMESim,"Proprietary, commercial",C,2017,Distributed by Siemens. Modelica-models supported.
1,Analytica,"Proprietary, commercial, free limited version",C++,2018,"Supports system dynamics, Monte Carlo simulation for uncertainty, array abstraction for handling multidimensional data, linear and non-linear optimization. Uses influence diagrams to define, navigate, and document models."
2,AnyLogic,"Proprietary, commercial, free Personal Learning Edition (PLE) for education, formal or not",Java,2020,"Supports system dynamics, agent based and discrete event modeling, allows making hybrid models."
3,ASCEND,"Free, GNU General Public License (GPL)",C,2012,"For solving small to very large mathematical models, systems of non-linear equations, linear and nonlinear optimisation problems, dynamic systems expressed as differential-algebraic equations."
4,Berkeley Madonna,"Proprietary, shareware","C++, Java",2018,"Developed on Berkeley campus under sponsorship of NSF and NIH, used by academic and commercial institutions to build mathematical models for research and teaching. Solves ordinary differential equations (initial conditions and boundary value problems), difference equations (initial conditions and boundary value problems), multi-dimensional transcendental algebraic equation roots, discrete simulations using conveyors, ovens, and queues. Suitable for large-scale systems, boundary value problems, Monte Carlo models, curve fitting, root finding, batch processes, parameter plots, stiff systems, etc."
5,DYNAMO,"Proprietary, no longer distributed commercially","AED, Pascal",1986,Historic DYNAMO models are often available at the MIT system dynamics website. DYNAMO software for microcomputers may be available via eBay or other resale sites.
6,GoldSim,"Proprietary, commercial",C++,2019,"Differs from traditional system dynamics approaches in that 1) it puts much greater emphasis on probabilistic simulation techniques to support representation of uncertain and/or stochastic systems; and 2) it provides a wide variety of specialized model objects (beyond stocks, flows and converters) in order to make models less abstract (and hence more transparent) and help represent processes and events that cannot easily be represented using a traditional system dynamics approach. These differences are due to the fact that GoldSim is primarily used for engineering and scientific applications where quantitative probabilistic predictions of future performance are required."
7,Insight Maker,"Free, Insight Maker Public License (GPL adjusted)",JavaScript,2021,Insight Maker supports System Dynamics modeling: a powerful method for exploring systems on an aggregate level. It is 100% browser based with an open support group using Google mail list.
8,iThink,"Proprietary, commercial","C++, Javascript",2018,"System dynamics and discrete event modeling with some agent-based capabilities. Drag and drop user interface builder allows simulations to be published online. Includes multilevel hierarchical models, reusable modules, multidimensional arrays, optimization, and Monte Carlo analysis."
9,LOOPY,"Free, CC Zero license",JavaScript,2019,A tool for thinking in systems. Users draw circles and lines to build an interactive simulation of a complex system.
10,MapleSim,"Proprietary, commercial","Java (GUI), C, Maple (engine)",2017,Modelica-based system-level modeling tool. Leverages symbolic computing via tight integration with Maple.
11,NetLogo,"Free, GPLv2","Java, Scala",2020,Agent-based modeling environment in LOGO; supports system dynamics models as a secondary feature.
12,OpenModelica,"Free, OSMC Public License, Eclipse Public License (EPL), GNU General Public License (GPL)","C, C++, MetaModelica",2018,"Modelica-based modeling and simulation environment. Modelica is an object-oriented, declarative, multi-domain modeling language for component-oriented modeling of complex systems. Next to the free System Dynamics library, which is exclusively based on modeling signal flows, there is a free Business Simulation Library (BSL) dedicated to System Dynamics, which makes use of Modelica's acausal connectors to account for transitions of conserved matter."
13,Powersim Studio,"Proprietary, commercial, free limited version",C++,2018,"Supports system dynamics; building graphical diagrams using stocks and flow, including delays and feedback for non-linear models. Supports units, multi-dimensions running scenario simulations and Monte Carlo simulations."
14,Silico,"Proprietary, commercial, free online version","Rust, Javascript",2020,"System dynamics with some discrete event and agent-based capabilities. Web-based modelling with drag and drop user interface makes it easy to publish and share. Extensive data integrations and model export as code targeting R, Python, C, Rust, Javascript for Data Science workflows."
15,Simcad Pro,"Proprietary, commercial, free full featured demo",Visual interface,2019,"Interactive process simulation software with support for manufacturing, healthcare and supply chain. 2D and 3D visualization with VR capability"
16,Simantics System Dynamics,"Free, Eclipse Public License (EPL)","Java, Modelica",2018,"Free and open source system dynamics modelling software with stock and flow modelling, hierarchical models and array variables."
17,Simlin,"Free, Apache License (v2)","Rust, Typescript",2021,"Browser-based system dynamics stock and flow modeling tool. A web-based version is available for un-restricted use and both the editor, engine, and diagram drawing components are embeddable by other web sites and Javascript-based applications."
18,Simulink,"Proprietary, commercial",?,2019,Tight integration with MATLAB
