,Name,Platform support,Features,Integration,Data-storage,Licensing
0,Ceiton,Web application,"Time-tracking and reporting, timesheets, invoicing. Full project support, integrated with workflow and long-term shift planning. Supports mobile devices.","Export to SAP, Microsoft Excel, CSV and pdf.","Web-based, MS SQL, Oracle.",License
1,Chrometa,"Microsoft Windows, iOS, Android","Fully automatic time-tracking software that captures PC-based time. Records time spent within all applications, documents, emails, and web pages without data entry. Also records time while you're away and prompts you to add a note.",No user input required.,Export to Microsoft Excel,Subscription-based
2,Clarizen,Web application,"Collaborative project execution software. Clarizen’s Time Tracking features include cost and billing rates, timesheets, billing approvals process and time-tracking reports.","Integrate with Salesforce, Google docs, Microsoft Outlook. Mobile- iPhone/Android app",Export and import projects to and from Microsoft Excel,Subscription-based
3,Everhour,Web application,"Team-oriented time tracking software that natively integrates into different project management systems. Includes project budgeting, resources planning, reporting and invoicing.","Asana, Basecamp, GitHub, Trello, Insightly, Xero, Pivotal Tracker, Jira, Teamwork, BitBucket, QuickBooks","Hosted. Export to Microsoft Excel, CSV",Subscription-based
4,Fanurio,"Microsoft Windows, Mac, Linux, Java","Invoicing, time tracking, billing",Address Book,HSQLDB,Subscription-based
5,FogBugz,Web application,"Automatic and manual time tracking, estimates, milestones, and reports.","Available in FogBugz Tasker, FogBugz Issue Desk, FogBugz Agile, and FogBugz Dev Hub.","Web-based, hosted.",Subscription-based
6,FreshBooks,Web application,"Invoicing, time tracking, online credit card and ACH payments, estimates, expenses, projects, staff and client management, double-entry accounting, personalized branding, customizable accounting and business reports and iPhone and Android apps.[1]","Gusto, G Suite, FundBox, Stripe, Bookkeeping Express, Bench, HubSpot, Yearli, Piesync, Zapier, Hurdlr, Capsule, Revamp CRM, noCRM.io, OneSaaS, 123FormBuilder, Acuity Scheduling, Bidsketch, Avalara Trustfile, Partial.ly, AON, Boomr, Track, Projects, Asana, Basecamp, Everhour, Trello, EazyBI, Collbox, ProWorkflow, Expiration Reminder, Shopify, Enlighten.me, Skyvia, Klipfolio, AgileCRM, Barcloud, Wufoo, Eventbrite, Salesforce, Slack, Square, Freshdesk, Campaign Monitor, WooCommerce, Yalla, Constant Contact, Insightly, MailChimp, ZenDesk, HoneyBooks, Selz, BigCommerce, ToDoList, Artichoke, Calendly, WordPress, Meetup, Geckoboard, HappyFox, Magneto, Podia, Formstack, Gravity, InfusionSoft, Clio, Universe, Solve, Daycast, Intervals, SharpSpring, Prospero, Proposify, AWeber, Natero, Everlance, LiveChat, Teachable, Expensify, InView, Tangentia, Checkeeper, SherpaDesk, ClicData[2]",Cloud-Based. Export to various formats,Subscription-based
7,Grindstone,Microsoft Windows,"Stopwatch, AFK detection, search tasks, profiles, custom fields, breakdowns, timesheets, invoices. After installation, a portable version can be generated, too.","Export to Microsoft Excel, PDF",XML,CC BY-ND 3.0 US
8,Group-Office,Web application,"Time tracking and time-based reporting, timesheets, project budgeting, invoicing, expenses, CRM, groupware",Built as module for open-source platform,"Hosted. Export to Microsoft Excel, CSV",Subscription- or license-based
9,Harvest,Web application,"Time tracking and reporting, timesheets, invoicing, expenses, project budgeting","iPhone, Android, Mac, Google Apps, Quickbooks, Xero, Basecamp, Trello, Asana","Hosted. Export to Microsoft Excel, CSV, Google Docs",Subscription-based
