,Software - #,Type,Contact
0,7-Zip,Program,
1,Software - A,Type,Contact
2,Abuse,Game,Bungie Software
3,Aces of the Deep,Game,Sierra
4,Aces Over Europe,Game,Sierra
5,Aces of the Pacific,Game,Sierra
6,Adobe After Effects,Program,Adobe
7,Adobe Audition,Program,Adobe
8,Adobe Bridge,Program,Adobe
9,Adobe Creative Cloud,Program,Adobe
10,Adobe Dreamweaver,Program,Adobe
11,Adobe Illustrator,Program,Adobe
12,Adobe InDesign,Program,Adobe
13,Adobe Lightroom,Program,Adobe
14,Adobe Photoshop,Program,Adobe
15,Adobe Photoshop Elements,Program,Adobe
16,Adobe Premiere Pro,Program,Adobe
17,Adobe Premiere Rush,Program,Adobe
18,After Dark,Utility,Sierra
19,After Life,Game,Lucas Arts
20,Age of Empires,Game,Microsoft
21,Alice,Game,Electronic Arts
22,Amazon,Game,Access
23,Amazon Silk,Browser,Amazon
24,AnyDesk,Utility,AnyDesk
25,AOL,Online Service,AOL
26,Software - B,Type,Contact
27,Battle Chess,Game,Interplay
28,Black and White,Game,Electronic Arts
29,Blackstone Chronicles,Game,Mindscape
30,Blake Stone,Game,Apogee
31,Blood,Game,GT Interactive
32,Brood War,Game,Blizzard
33,Software - C,Type,Contact
34,Caesar 3,Game,Sierra
35,Chess Master,Game,Mindscape
36,Civilization 2,Game,Microprose
37,Close Combat,Game,Microsoft
38,Command & Conquer,Game,Westwood
39,Command & Conquer Red Alert,Game,Westwood
40,Comm Central,Program,Packard Bell
41,CorelDRAW,Program,Corel
42,CrystalMark,Utility,Hiyohiyo
43,Cubase,Program,Steinberg
44,Software - D,Type,Contact
45,Dark Earth,Game,Microprose
46,Defrag,Utility,Microsoft
47,Descent,Game,Interplay
48,Descent II,Game,Interplay
49,Diablo,Game,Blizzard
50,Diablo Hell Fire,Game,Sierra
51,Diablo 2,Game,Blizzard
52,Directx,Utility,Microsoft
53,Dos,Operating system,Microsoft
54,Doom,Game,GT Interactive
55,Doom 2,Game,GT Interactive
56,Dr. Watson,Utility,Microsoft
57,Drive Image,Utility,Power Quest
58,Duke 3D,Game,GT Interactive
59,Dune,Game,Virgin
60,Dungeon Keeper,Game,Electronic Arts
61,Software - E,Type,Contact
62,Earth Worm Jim,Game,Activision
63,Epic Pinball,Game,Epic
64,Excel,Program,Microsoft
65,Expression Web,Program,Microsoft
66,Software - F,Type,Contact
67,F-117A,Game,Microprose
68,Fallout,Game,Interplay
69,Fallout 2,Game,Interplay
70,Fat32,None,Microsoft
71,FIFA 2000,Game,Electronic Arts
72,FIFA 99,Game,Electronic Arts
73,FIFA 97,Game,Electronic Arts
74,FIFA 96,Game,Electronic Arts
75,Final Doom,Game,GT Interactive
76,FileZilla,Program,
77,Firefox,Browser,Mozilla
78,First Aid,Utility,Mcafee
79,Floor 13,Game,Virgin
80,FL Studio,Program,Image Line Software
81,Fortnite,Game,Epic Games
82,FrontPage,Program,Microsoft
83,FTP,Program,Various
84,Full Throttle,Game,Lucas Arts
85,Software - G,Type,Contact
86,Gabriel Knight 3,Game,Sierra
87,GameMaker Studio,Program,YoYo Games
88,GarageBand,Program,Apple
89,GlassWire,Program,GlassWire
90,Gobliiins,Game,Sierra
91,Gobliins 2,Game,Sierra
92,Goblins Quest 3,Game,Sierra
93,Google Chrome,Browser,Google
94,Google Docs,Cloud,Google
95,Google Sheets,Cloud,Google
96,Google Slides,Cloud,Google
97,Software - H,Type,Contact
98,Hand of Fate,Game,Westwood
99,Half-Life,Game,Sierra
100,Half-Life Opposing Force,Game,Sierra
101,Hell Fire,Game,Sierra
102,Heretic,Game,Id Software
103,Heretic 2,Game,Id Software
104,Hexen 2,Game,Activision
105,Hitfilm,Program,FXhome
106,Hyper Terminal,Program,Microsoft
107,Software - I,Type,Contact
108,Icewind Dale,Game,Interplay
109,ICQ,Program,AOL
110,ImageShack,Program,
111,Internet Explorer,Browser,Microsoft
112,IrfanView,Program,Irfan Skiljan
113,iTunes,Program,Apple
114,iWork,Program,Apple
115,Software - J,Type,Contact
116,Jami,Program,Savoir-Faire Linux
