,Title,License,Status
0,3Delight,Proprietary,Active
1,AIR,Proprietary,Discontinued
2,appleseed,Free and open-source,Active
3,Arion,Proprietary,Active
4,Aqsis,BSD,Active
5,Arnold,Proprietary,Active
6,Brazil R/S,Proprietary,Discontinued
7,C3D Vision,Proprietary,Active
8,Centileo,Proprietary,Active
9,Cinema 4D,Proprietary,Active
10,Corona Renderer,Proprietary,Active
11,Cycles,GPLv2,Active
12,EEVEE,GPLv2,Active
13,Enscape,Proprietary,Active
14,Flamingo,Proprietary,Active
15,FStormRender,Proprietary,Active
16,Gelato,Proprietary,Discontinued
17,Hyperion,Proprietary,Active
18,iClone,Proprietary,
19,Indigo Renderer,Proprietary,Active
20,Kerkythea,Freeware,
21,Light Tracer Render,Freeware,Active
22,Lumion,Proprietary,Active
23,LuxCoreRender,Apache,Active
24,Maxwell Render,Proprietary,
25,Mental ray,Proprietary,Discontinued
26,Octane Render,Proprietary,Active
27,RenderMan,Proprietary,Active
28,Pixie,GPL and LGPL,
29,POV-Ray,AGPLv3,Active
30,AMD Radeon ProRender,Freeware,Active
31,Radiance,Free and open-source,Active
32,Raylectron,Proprietary,
33,Redshift,Proprietary,Active
34,SolidWorks Visualize,Proprietary,Active
35,Sunflow,MIT,Inactive
36,V-Ray,Proprietary,Active
37,YafaRay,LGPL,Active
