,JBoss project or software[20],Type[20],Description
0,GateIn,Web interface,"A project that merged JBoss Portal and eXo Portal to produce GateIn Portal;[21] used in JBoss Enterprise Portal Platform (JBoss EPP) Subprojects: GateIn Portal – both an enterprise portal and also a web portal framework to build upon; a merge of JBoss Portal 2.7 and eXo Portal 2.5 that produced GateIn Portal 3.0[22] GateIn Portlet Container – an implementation of the JSR 286 Java Portlet Specification 2.0[23] eXo JCR – an implementation of the JSR 170 Java Content Repository (JCR) API[24] JBoss Portlet Bridge – an implementation of the JSR 301 and JSR 329 specifications; for description, see JBoss Portlet Bridge in this table"
1,JBoss Portlet Bridge,Web interface,"A non-final draft implementation of the JSR 301 and JSR 329 specifications that supports JavaServer Faces (JSF) within a JSR 286 portlet, and also supports other web frameworks such as Seam and RichFaces;[25] used in JBoss Enterprise Portal Platform"
2,RichFaces,Web interface,A project that produces a user interface component framework for integrating Ajax capabilities into applications using JavaServer Faces (JSF);[26] a Java software component library for the development of web-based user interfaces
3,Switchyard,Programming model,"To support SOA and ESB programming models in Java, a lightweight service delivery framework to define the contract, policies, configuration, composition, and management of services, with the goal of making the runtime managed automatically[27] Components: SwitchYard Core – provides the base capabilities required to define, register, and communicate with services SwitchYard Components – plug-ins to provide functionality such as connectivity, routing, translation, and orchestration SwitchYard Test – supports repeatable, self-contained tests during development SwitchYard Tools – a command-line and graphical toolset that supports the development, deployment, and management of the services"
4,ESB (JBossESB or JBoss ESB),Programming model,"JBoss Enterprise Service Bus (ESB) is an implementation of Enterprise Application Integration (EAI), enterprise service bus (ESB) software, and business integration software; JBossESB part of a Service-Oriented Infrastructure (SOI) and a Service-Oriented Architecture (SOA)[28]"
5,Weld,Programming model,The reference implementation of JSR 299 Java Contexts and Dependency Injection (CDI) for the Java EE platform[29]
6,Seam,Programming model,A web application framework development platform for building rich Internet applications[14] Technologies include: Asynchronous JavaScript and XML (AJAX) JavaServer Faces (JSF) Java Persistence (JPA) Enterprise Java Beans (EJB) Business Process Management (BPM) Associated tools[30]
7,OSGi,Programming model,A framework that implements the OSGi specification for a module system and service platform that provides a dynamic component model for the JBoss Application Server[31]
8,EJB3,Programming model,"Enterprise Java Beans is a managed, server-side component architecture for modular construction of enterprise applications[32]"
9,Snowdrop,Programming model,"JBoss-specific extensions to the Spring Framework[33] to support the Spring Deployer, for situations when the Spring Framework generic implementation does not integrate correctly with the JBoss Application Server, and for access directly to the underlying JBoss Microcontainer"
10,RESTEasy,Programming model,A project that implements the JAX-RS specification by providing various frameworks for building RESTful web services and RESTful Java applications;[34] a Java API for RESTful web services over the HTTP protocol that implements JAX-RS
11,TorqueBox,Programming model,"A Ruby application platform, built on the JBoss Application Server, including Ruby on Rails and support for services such as messaging, scheduling, and daemons[35]"
