,Name,Structure prediction tools integrated,Can align sequences,Can calculate phylogenetic trees,Other features,Format support,License,Can run on Browser,Operating Platforms,Link
0,Alan,No,No,No,Allows sequence alignments to be viewed quickly and directly in a linux terminal without X-forwarding,"FASTA, Clustal","Free, GPL 3",No,Linux Terminal,Official website
1,Ale (emacs plugin),No,Yes,No,No,"GenBank, EMBL, FASTA, PHYLIP","Free, GPL",No,GNU Emacs,Official website
2,AliView 2021,No,MUSCLE integrated; other programs such as MAFFT can be defined,External programs such as FastTree can be called from within,"Fast, easy navigation through unlimited mouse wheel zoom in-out feature. Handles unlimited file size alignments. Degenerate primer design.","FASTA, FASTQ, PHYLIP, Nexus, MSF, Clustal","Free, GPL 3",?,"Cross-platform -Mac OS, Linux, Windows",Official website
3,alv,No,No,No,"Console-based (no GUI), yet with colors. Coding DNA is coloured by codon.","FASTA, PHYLIP, Nexus, Clustal, Stockholm","Free, GPL 3",No,Cross-platform,"Official website, see also alv on GitHub"
4,arb,"structure editable, show bond in helix sequence regions, 2D molecule viewer","MUSCLE, MAFFT, ClustalW, ProbCons, FastAligner (region-align+auto-reference)","arb-parsimony & -NJ, RAxML, PHYML, Phylip, FastTree2, MrBayes","Edits huge alignments and trees. Supports NUCs + AA. Displays codons below DNA. Custom column highlighting (e.g. by conservation profiles). Designs, matches and visualizes probes.","FASTA, GenBank, EMBL, Newick","Proprietary, freeware, arb license, open modifiable source",No,"Linux, Mac OS (homebrew)",Official website
5,Base-By-Base,No,MUSCLE,"UPGMA, NJ, complete and single linkages, WPMGA","Visual summary, percent identity tables, some integrated advanced analysis tools","Genbank, FASTA, EMBEL, Clustal, base-by-base files","Proprietary, freeware, must register",?,?,Official website
6,BioEdit,No,ClustalW,"Rudimentary, can read PHYLIP","Plasmid drawing, ABI chromatograms,","Genbank, FASTA, PHYLIP 3.2 and 4, NBRF-PIR","Proprietary, freeware",No,Windows (95/98/NT/2000/XP),Official website
7,BioNumerics,No,Yes,Yes,?,"Genbank, FASTA","Proprietary, commercial",?,?,Official website
8,bioSyntax,No,No,No,"Native syntax highlighting support for Vim, less, gedit and Sublime","FASTA, FASTQ, Clustal, SAM, VCF and more","Free, GPL 3",No,"Vim, Less, GEdit, & Sublime",Official website
9,BoxShade,No,No,No,Specifically for multiple alignments,"MSF format as written by PILEUP, READSEQ, or SEQIO (fmtseq); ALN format as written by ClustalW","Free, public domain",No,"MSDOS, VMS",Official website
