,Software,Developer,Applications,Operative system,License,URL
0,Advanced Simulation Library (ASL),Avtech Scientific,"Process data validation and reconciliation, real-time optimization, virtual sensing and predictive control","Windows, Linux, FreeBSD, Mac",open-source (AGPLv3),[1]
1,APMonitor,APMonitor,"MATLAB/Python/Julia-based data reconciliation, real-time optimization, dynamic simulation and nonlinear predictive control","Windows, Linux",open-source (BSD-2-Clause),[2]
2,Apros,Fortum and VTT Technical Research Centre of Finland,Dynamic process simulation for power plants,Windows,closed-source,[3]
3,ASCEND,ASCEND,"Dynamic process simulation, general purpose language","Windows, BSD, Linux",open-source (GPLv2),[4]
4,Aspen Custom Modeler (ACM),Aspen Technology,Dynamic process simulation,Windows,closed-source,[5]
5,Aspen HYSYS,Aspen Technology,Process simulation and optimization,Windows,closed-source,[6]
6,Aspen Plus,Aspen Technology,Process simulation and optimization,Windows,closed-source,[7]
7,ASSETT,Kongsberg Digital,Dynamic process simulation,Windows,closed-source,[8]
8,BatchColumn,ProSim,Simulation and Optimization of batch distillation columns,Windows,closed-source,[9]
9,BATCHES,"Batch Process Technologies, Inc.","Simulation of recipe driven multiproduct and multipurpose batch processes for applications in design, scheduling and supply chain management",Linux,closed-source,[10]
10,BatchReactor,ProSim,Simulation of chemical reactors in batch mode,Windows,closed-source,[11]
11,BioSTEAM,Yoel Cortes-Pena & BioSTEAM Development Group,"Design, simulation, and costing of biorefineries under uncertainty","Windows, Mac, Linux",open-source (BSD-3-Clause),[12]
12,CADSIM Plus,Aurel Systems Inc.,Steady-state and dynamic process simulation,Windows,closed-source,[13]
13,ChromWorks,YPSO-FACTO,"Chromatographic process design, simulation & optimization",Windows,closed-source,[14]
14,CHEMCAD,Chemstations,Software suite for process simulation,Windows,closed-source,[15]
15,CHEMPRO,EPCON,"Process Flow Simulation, Fluid Flow Simulation, & Process Equipment Sizing",Windows,closed-source,[16]
16,Cycad Process,CM Solutions,Process simulation and drawing package for minerals and metallurgical fields,Windows,closed-source,[17]
17,Cycle-Tempo,Asimptote,"Thermodynamic analysis and optimization of systems for the production of electricity, heat and refrigeration",Windows,closed-source,[18]
18,COCO simulator + ChemSep,AmsterCHEM,Steady state process simulation based on CAPE-OPEN Interface Standard,Windows,open-source (Coco License 3.4),[19] [20]
19,D-SPICE,Kongsberg Digital,Dynamic process simulation,Windows,closed-source,[21]
20,Design II for Windows,WinSim Inc.,Process simulation,Windows,closed-source,[22]
21,Distillation expert trainer,ATR,Operator training simulator for distillation process,,closed-source,[23]
22,Dymola,Dassault Systèmes,Modelica-based dynamic modelling and simulation software,"Windows, Linux",closed-source,[24]
23,DynoChem,Scale-up Systems,Dynamic process simulation and optimization,Windows,closed-source,[25]
24,DYNSIM,AVEVA,Dynamic process simulation,Windows,closed-source,
25,Dyssol[1],,Dynamic flowsheet simulation of solids processes,Windows,open-source (BSD-3-Clause),[26]
26,DWSIM,"Daniel Medeiros, Gustavo León and Gregor Reichert",Process simulator,"Windows, Linux, macOS, Android, iOS","open-source (GPLv3), freemium",[27]
