,Name,Developer,Availability,Client Interface,License,Description/Notes
0,Aerospike DBS,Aerospike Company,2012.0,"Java, C#, C, Python, Go, Node.js, Perl, libevent, PHP, Ruby, Rust",Open Source (AGPL),Flash-optimized in-memory open source NoSQL database.
1,ALTIBASE HDB,Altibase Corporation,1999.0,"Java, C, C++, JDBC, ODBC, SQL","Open source(GNU-AGPLv3, GNU-LGPLv3(for client-libraries))","""Hybrid DBMS"" that combines an in-memory database with a conventional disk-resident database in a single unified engine. Supports full ACID properties, standard connectivity interfaces such as JDBC and ODBC [fully supported] as well as interoperability."
2,ALTIBASE XDB,Altibase Corporation,1999.0,"Java, C, C++, JDBC, ODBC, SQL","Open source(GNU-AGPLv3, GNU-LGPLv3(for client-libraries))","General purpose database that has high data processing speeds in main-memory alone. It comes with high-availability, replication and scalability features; three interfaces (including Direct Access Mode and Direct Access API Mode) as well as conventional client/server protocols such as TCP/IP and IPC for more complex database operations. Supports full ACID properties, standard connectivity interfaces such as JDBC and ODBC [fully supported] as well as interoperability."
3,Apache Ignite,"Apache Software Foundation, GridGain Systems",2014.0,"Java, SQL, JDBC, ODBC",Open Source (Apache License Version 2.0),"Apache Ignite is an in-memory computing platform that is durable, strongly consistent, and highly available with powerful SQL, key-value and processing APIs. With full SQL support, one of the main use cases for Apache Ignite is the in-memory database which scales horizontally and provides ACID transactions."
4,ArangoDB,ArangoDB GmbH,2011.0,"AQL, HTTP, Java, JavaScript, PHP, Go, Scala, .Net, Python, Ruby",Open Source (Apache License Version 2.0),"ArangoDB is a transactional native multi-model database supporting two major NoSQL data models (graph and document[1]) with one query language. Written in C++ and optimized for in-memory computing. In addition ArangoDB integrated RocksDB for persistent storage. ArangoDB supports Java, JavaScript, Python, PHP, NodeJS, C++ and Elixir. For resilient cluster behavior, ArangoDB offers a Raft-based cluster management."
5,Datablitz (formerly Dali),Bell Labs (Alcatel-Lucent),1997.0,,Proprietary,Dali prototype was a research project at Bell Labs. It was commercialized and used by Lucent as database for in premier wireline and wireless products.
6,Ehcache,"Terracotta, Inc. (Software AG)",2006.0,Java,Open source (Apache License),"For Java, distributed"
7,eXtremeDB,McObject,2001.0,"SQL, Lua, C, C++, C#, Java, Python",Proprietary,"Cross-platform, including Linux, Windows, RTOS and server platforms. Interfaces include type-safe, native C/C++; native Java & .NET; SQL/ODBC/JDBC. Specialized editions for (for example) clustering, high availability, 64-bit support, and hybrid (in-memory and persistent) storage. eXtremeDB Financial Edition implements columnar data handling, vector-based statistical function library, integrated performance monitoring."
8,GigaSpaces,GigaSpaces Technologies,2001.0,GigaSpaces LRMI Hibernate JCache JDBC JPA ODBC RESTful HTTP API Spring Data,"Open Source (Apache License 2.0), Commercial license available","GigaSpaces InsightEdge is a portfolio of in-memory products including: Smart Cache - a high-speed, distributed in-memory data storage and processing layer that runs on operational data stores to accelerate digital applications and enable real-time reporting and BI Smart ODS - a Digital Integration Hub (DIH) that seamlessly and in real-time connects to and processes data from systems of record and existing ODS deployments. Smart Augmented Transactions - an in-memory Translytical platform that unifies streaming, real-time transactional (ACID compliant) and analytical processing for instant insights and closed loop decision making"
9,H2 (DBMS),H2,,"Java, ODBC, JDBC",Open Source (Mozilla Public License or Eclipse Public License),For Java
