,Software,Example(s),Interface,Licence(s),Licence(s),Latest Release,Operating system,Distinguishing features
,Software,Example(s),Interface,License,Open Source (yes/no),Latest Release,Operating system,Distinguishing features
0,AIDA,,,LGPL,Yes,October 2003 / 3.2.1,,Open interfaces and formats for particle physics data processing
1,Algebrator,,GUI,Proprietary,No,2009 / 4.2,"Linux, Mac OS X, Sugar, Windows",2D graphs
2,Archim,drawing 2D and 3D graphs,,freeware,No,2008,Windows,Graphs in polar (or other) coordinates become specific cases of parametric graphs.
3,Baudline,,GUI,Proprietary,No,"July 21, 2010 / 1.08","FreeBSD, Linux, Mac OS X, Solaris",Signal analysis tool
4,D3js,,JavaScript library,BSD,Yes,"August 25, 2018 / 5.7.0","web browsers, js engines",static and dynamic presentations
5,DADiSP,,"GUI, command line, SPL script language",Proprietary,No,"January 17, 2017 / 6.7 B02",Windows,Numerical analysis and signal processing with a spreadsheet-like interface
6,DAP,,,GNU-style copyleft[1],Yes,"April 16, 2014 / 3.10",,Statistics
7,Datacopia,,GUI (web based),Freemium,No,,"Windows, Linux, Mac, iOS, Android","Generates a ranked list of several plots & visualizations based on an analysis of the data provided, allowing the user to choose their favorite graphic, share it, and export it as an image."
8,DataGraph,,"GUI, command line",Proprietary,No,"February 17, 2020 / 4.5.1",macOS,"2D graphing, animations, data analysis, linear and non-linear curve fitting."
9,DataScene,,GUI,Shareware,No,March 2011 / 3.0.7,"Linux, Unix/X11, Windows","2D & 3D graphing, animated graphs, data analysis, curve fitting, and data monitoring."
10,EditGrid,,GUI (web based),,,,Any (Web-based application),"Online spreadsheet; service due to end May 1, 2014"
11,EJS,,GUI,GPL,Yes,,"Linux, Mac OS X, Windows","Creates ODE solving interactive, ready-to-publish Java applets"
12,Epi Info,,,GPL,Yes,"February 2, 2018 / 7.2.2.6",Windows,Statistics
13,EViews,,,Proprietary,No,"June 21, 2017 / 10",,Statistics
14,Fityk,,"GUI, command line",GPL,Yes,"December 19, 2016 / 1.3.1","Linux, Mac OS X, Windows",specialized in curve fitting
15,FlexPro,,,Proprietary,No,2017,MS Windows only,
16,FreeMat,,,GPL[2],Yes,"June 30, 2013 / 4.2","Linux, Mac OS X, Windows",
17,FusionCharts,,"GUI (web based), JavaScript Charting Library",Proprietary,No,"November 1, 2016 / 3.11.3","All Web Browsers (including IE 6), JS Engines","Interactive JavaScript Charts for your Web & Mobile applications. Get 90+ chart types and 965 maps, readymade business dashboards and demos."
18,GeoGebra,,GUI,GPL with non-commercial restriction[3],Yes,"September 3, 2017 / 6.0.385.0","Linux, Mac OS X, Sugar, Windows, Android","Very good for rendering Geometry, Graphs, Statistical Diagrams, (LaTeX) Formula Rendering. All antialiased in PNG Export. Export to SVG, EPS, EMF, PNG, PDF."
19,Gephi,,GUI,GPLv3 / CDDL 1.0,Yes,"February 14, 2016 / 0.9.1","Linux, Mac OS X, Windows","Networks and complex systems, dynamic and hierarchical graphs"
20,ggplot2,,R,GPL2,Yes,"December 30, 2016 / 2.2.1",Cross-platform,"Based on ""The Grammar of Graphics"""
21,Gnumeric,,GUI,GPL[4],Yes,"August 19, 2018 / 1.12.43",Cross-platform,Spreadsheet
22,GNU Octave,,"GUI, command line, C, C++, Fortran",GPL,Yes,"August 9, 2018 / 4.4.1","FreeBSD, Linux, Mac OS X, OS/2 (including eComStation and ArcaOS), Solaris, Windows, Android","MATLAB compatible, built-in ODE and DAE solvers, extensive user contributed toolboxes"
23,Gnuplot,,"Command line, Python, Ruby, Smalltalk, third-party GUIs",Own license,Yes,"June 4, 2018 / 5.2.4","Amiga, Atari ST, BeOS, Linux, Mac, MS-DOS, OS/2 (including eComStation and ArcaOS), OS-9/68k, Ultrix, Windows, VMS, Android",Built in scripting language
24,GrADS,,command line,GPL,Yes,"April 25, 2018 / 2.2.1","Linux, Mac OS X, Windows, Solaris, IBM AIX, DEC Alpha, IRIX",Visualization of Earth science data
25,GraphPad Prism,,GUI,proprietary,No,"October 12, 2016 / 7.0b","Mac, Windows",
26,Grace,,"Command line, GUI, various APIs",GPL,Yes,"February 14, 2015 / 5.1.25","Linux, Mac(X11), Windows (cygwin)",Uses Motif; fork of Xmgr
27,Graphviz,,DOT language,CPL,Yes,"December 25, 2016 / 2.40.1","Linux, Mac OS X, Windows",
28,gretl,,GUI,GPL,Yes,"September 3, 2018 / 2018c","Linux, Mac, Windows","Specialized in econometrics and time series analyses, built-in scripting language, interface to gnuplot and R"
29,HippoDraw,,,GPL v2,Yes,October 2007 / 1.21.3,,C++-based data analysis system
30,IGOR Pro,,GUI,proprietary,No,"April 11, 2019 / 8.0.3","Mac, Windows","3D and volume visualization, Curve and peak fitting, Signal processing, Image processing"
31,ILNumerics,,Math library for .NET / C#,GPL / proprietary,,"June 11, 2015 / v4.8",Windows and Linux,"Math library with rich visualization features (interactive 3D scenes, scientific plotting) and MATLAB-like syntax."
32,Ipe,,"GUI, XML",GPL,Yes,"December 10, 2016 / 7.2.7","Linux, Mac, Windows, OS/X",IPE Graphics with LaTeX equations or notations can be stored as PDF files (not only exported to PDF) and be included in LaTeX documents. pdftoipe allows any PDF graph to be edited in Ipe.
33,JFreeChart,,"GUI, Java, Groovy",LGPL,Yes,"November 5, 2017 / 1.5.0",Any (Java),
34,JMP,,"GUI, scripting",proprietary,No,"March 9, 2021 / 16.0","Mac, Windows",Interactive statistical graphics
35,KChart,,GUI,GPL,Yes,"March 21, 2017 / 3.0.1",Linux (KDE),
36,Kig,,GUI,GPL,Yes,,,Geometry diagrams only
