,Name,Description,paired-end option,Use FASTQ quality,Gapped,Multi-threaded,License,Reference,Year
0,Arioc,"Computes Smith-Waterman gapped alignments and mapping qualities on one or more GPUs. Supports BS-seq alignments. Processes 100,000 to 500,000 reads per second (varies with data, hardware, and configured sensitivity).",Yes,No,Yes,Yes,"Free, BSD",[33],2015
1,BarraCUDA,"A GPGPU accelerated Burrows-Wheeler transform (FM-index) short read alignment program based on BWA, supports alignment of indels with gap openings and extensions.",Yes,No,Yes,"Yes, POSIX Threads and CUDA","Free, GPL",,
2,BBMap,"Uses a short kmers to rapidly index genome; no size or scaffold count limit. Higher sensitivity and specificity than Burrows-Wheeler aligners, with similar or greater speed. Performs affine-transform-optimized global alignment, which is slower but more accurate than Smith-Waterman. Handles Illumina, 454, PacBio, Sanger, and Ion Torrent data. Splice-aware; capable of processing long indels and RNA-seq. Pure Java; runs on any platform. Used by the Joint Genome Institute.",Yes,Yes,Yes,Yes,"Free, BSD",,2010
3,BFAST,"Explicit time and accuracy tradeoff with a prior accuracy estimation, supported by indexing the reference sequences. Optimally compresses indexes. Can handle billions of short reads. Can handle insertions, deletions, SNPs, and color errors (can map ABI SOLiD color space reads). Performs a full Smith Waterman alignment.",,,,"Yes, POSIX Threads","Free, GPL",[34],2009
4,BigBWA,"Runs the Burrows-Wheeler Aligner-BWA on a Hadoop cluster. It supports the algorithms BWA-MEM, BWA-ALN, and BWA-SW, working with paired and single reads. It implies an important reduction in the computational time when running in a Hadoop cluster, adding scalability and fault-tolerance.",Yes,Low quality bases trimming,Yes,Yes,"Free, GPL 3",[35],2015
5,BLASTN,"BLAST's nucleotide alignment program, slow and not accurate for short reads, and uses a sequence database (EST, Sanger sequence) rather than a reference genome.",,,,,,,
6,BLAT,Made by Jim Kent. Can handle one mismatch in initial alignment step.,,,,"Yes, client-server","Proprietary, freeware for academic and noncommercial use",[36],2002
7,Bowtie,"Uses a Burrows-Wheeler transform to create a permanent, reusable index of the genome; 1.3 GB memory footprint for human genome. Aligns more than 25 million Illumina reads in 1 CPU hour. Supports Maq-like and SOAP-like alignment policies",Yes,Yes,No,"Yes, POSIX Threads","Free, Artistic",[37],2009
8,BWA,Uses a Burrows-Wheeler transform to create an index of the genome. It's a bit slower than Bowtie but allows indels in alignment.,Yes,Low quality bases trimming,Yes,Yes,"Free, GPL",[38],2009
9,BWA-PSSM,"A probabilistic short read aligner based on the use of position specific scoring matrices (PSSM). The aligner is adaptable in the sense that it can take into account the quality scores of the reads and models of data specific biases, such as those observed in Ancient DNA, PAR-CLIP data or genomes with biased nucleotide compositions.[39]",Yes,Yes,Yes,Yes,"Free, GPL",[39],2014
10,CASHX,"Quantify and manage large quantities of short-read sequence data. CASHX pipeline contains a set of tools that can be used together, or separately as modules. This algorithm is very accurate for perfect hits to a reference genome.",,,,No,"Proprietary, freeware for academic and noncommercial use",,
11,Cloudburst,Short-read mapping using Hadoop MapReduce,,,,"Yes, Hadoop MapReduce","Free, Artistic",,
12,CUDA-EC,Short-read alignment error correction using GPUs.,,,,"Yes, GPU enabled",,,
13,CUSHAW,A CUDA compatible short read aligner to large genomes based on Burrows-Wheeler transform,Yes,Yes,No,Yes (GPU enabled),"Free, GPL",[40],2012
14,CUSHAW2,"Gapped short-read and long-read alignment based on maximal exact match seeds. This aligner supports both base-space (e.g. from Illumina, 454, Ion Torrent and PacBio sequencers) and ABI SOLiD color-space read alignments.",Yes,No,Yes,Yes,"Free, GPL",,2014
15,CUSHAW2-GPU,GPU-accelerated CUSHAW2 short-read aligner.,Yes,No,Yes,Yes,"Free, GPL",,
16,CUSHAW3,Sensitive and accurate base-space and color-space short-read alignment with hybrid seeding,Yes,No,Yes,Yes,"Free, GPL",[41],2012
17,drFAST,"Read mapping alignment software that implements cache obliviousness to minimize main/cache memory transfers like mrFAST and mrsFAST, however designed for the SOLiD sequencing platform (color space reads). It also returns all possible map locations for improved structural variation discovery.",Yes,"Yes, for structural variation",Yes,No,"Free, BSD",,
18,ELAND,Implemented by Illumina. Includes ungapped alignment with a finite read length.,,,,,,,
19,ERNE,Extended Randomized Numerical alignEr for accurate alignment of NGS reads. It can map bisulfite-treated reads.,Yes,Low quality bases trimming,Yes,Multithreading and MPI-enabled,"Free, GPL 3",,
20,GASSST,Finds global alignments of short DNA sequences against large DNA banks,,,,Multithreading,CeCILL version 2 License.,[42],2011
21,GEM,"High-quality alignment engine (exhaustive mapping with substitutions and indels). More accurate and several times faster than BWA or Bowtie 1/2. Many standalone biological applications (mapper, split mapper, mappability, and other) provided.",Yes,Yes,Yes,Yes,"Free, GPL3",[43],2012
22,Genalice MAP,Ultra fast and comprehensive NGS read aligner with high precision and small storage footprint.,Yes,Low quality bases trimming,Yes,Yes,"Proprietary, commercial",,
23,Geneious Assembler,"Fast, accurate overlap assembler with the ability to handle any combination of sequencing technology, read length, any pairing orientations, with any spacer size for the pairing, with or without a reference genome.",,,,Yes,"Proprietary, commercial",,
24,GensearchNGS,"Complete framework with user-friendly GUI to analyse NGS data. It integrates a proprietary high quality alignment algorithm and plug-in ability to integrate various public aligner into a framework allowing to import short reads, align them, detect variants, and generate reports. It is made for resequencing projects, namely in a diagnostic setting.",Yes,No,Yes,Yes,"Proprietary, commercial",,
25,GMAP and GSNAP,"Robust, fast short-read alignment. GMAP: longer reads, with multiple indels and splices (see entry above under Genomics analysis); GSNAP: shorter reads, with one indel or up to two splices per read. Useful for digital gene expression, SNP and indel genotyping. Developed by Thomas Wu at Genentech. Used by the National Center for Genome Resources (NCGR) in Alpheus.",Yes,Yes,Yes,Yes,"Proprietary, freeware for academic and noncommercial use",,
26,GNUMAP,"Accurately performs gapped alignment of sequence data obtained from next-generation sequencing machines (specifically of Solexa-Illumina) back to a genome of any size. Includes adaptor trimming, SNP calling and Bisulfite sequence analysis.",,"Yes, also supports Illumina *_int.txt and *_prb.txt files with all 4 quality scores for each base",,Multithreading and MPI-enabled,,[44],2009
