,Name,Last update,Usage,Description,Open source?,Reference
0,SAPS,1992,downloadable / web,It describes several protein sequence statistics for the evaluation of distinctive characteristics of residue content and arrangement in primary structures.,yes,[1]
1,SEG,1993,downloadable,"It is a two pass algorithm: first, identifies the LCR, and then performs local optimization by masking with Xs the LCRs",yes,[2]
2,fLPS,2017,downloadable / web,"It can readily handle very large protein data sets, such as might come from metagenomics projects. It is useful in searching for proteins with similar CBRs and for making functional inferences about CBRs for a protein of interest",yes,[3]
3,CAST,2000,web,It identifies LCRs using dynamic programming.,no,[4]
4,SIMPLE,2002,downloadable web,It facilitates the quantification of the amount of simple sequence in proteins and determines the type of short motifs that show clustering above a certain threshold.,yes,[5]
5,Oj.py,2001,on request,A tool for demarcating low complexity protein domains.,no,[6]
6,DSR,2003,on request,It calculates complexity using reciprocal complexity.,no,[7]
7,ScanCom,2003,on request,Calculates the compositional complexity using the linguistic complexity measure.,no,[8]
8,CARD,2005,on request,"Based on the complexity analysis of subsequences delimited by pairs of identical, repeating subsequences.",no,[9]
9,BIAS,2006,downloadable / web,It uses discrete scan statistics that provide a highly accurate multiple test correction to compute analytical estimates of the significance of each compositionally biased segment.,yes,[10]
10,GBA,2006,on request,A graph-based algorithm that constructs a graph of the sequence.,no,[11]
11,SubSeqer,2008,web,A graph-based approach for the detection and identification of repetitive elements in low–complexity sequences.,no,[12]
12,ANNIE,2009,web,This method creates an automation of the sequence analytic process.,no,[13]
13,LPS-annotate,2011,on request,This algorithm defines compositional bias through a thorough search for lowest-probability subsequences (LPSs; Low Probability Sequences) and serves as workbench of tools now available to molecular biologists to generate hypotheses and inferences about the proteins that they are investigating.,no,[14]
14,LCReXXXplorer,2015,web,"A web platform to search, visualize and share data for low complexity regions in protein sequences. LCR-eXXXplorer offers tools for displaying LCRs from the UniProt/SwissProt knowledgebase, in combination with other relevant protein features, predicted or experimentally verified. Also, users may perform queries against a custom designed sequence/LCR-centric database.",no,[15]
15,XNU,1993,downloadable,It uses the PAM120 scoring matrix for the calculation of complexity.,yes,[16]
