,Name,Company,Tracking method,Latest stable release,Price in USD
0,Adobe Analytics,Adobe Systems,Cookies via JavaScript,15,Negotiable
1,Bing Webmaster Tools,Microsoft,Cookies via JavaScript,,Free
2,Analytics Suite,AT Internet,Mobile ID and Cookies,Continuous,Negotiable
3,Bango Mobile Web Analytics,Bango plc,Mobile ID and cookies,4.0,From $49/month
4,Data Workbench,Adobe Systems,Cookies via JavaScript,6.51,Negotiable
5,Google Analytics,Google,Cookies via JavaScript,,"Free (Standard), $150,000 Annual (Premium)"
6,CleverTap,"WizRocket, Inc.",Cookies via JavaScript,Continuous,Free (Start)/ Monthly Plans
7,Fathom,Conva Ventures Inc.,Cookies - JavaScript,,US$14–US$94/month
8,LiveChat,Livechat Software,Cookies via JavaScript,,from $36/month
9,Mapmyuser.com,"Mapmyuser, LLC",Cookies via JavaScript,,Free
10,Mixpanel,Mixpanel,Cookies via JavaScript,,Free (Start)/ Monthly Plans
11,Quantcast,Quantcast Corporation,Cookies via JavaScript,,Free
12,Similarweb,Similarweb Ltd.,Cookies via JavaScript,,Free / Monthly plans (from $199)
13,StatCounter,StatCounter,Cookies via JavaScript,,Free - $5/month ... $119/month
14,Webtrekk Q3,Webtrekk,Cookies via JavaScript,,From $202/month
15,Webtrends,Webtrends,Cookies via JavaScript,,
16,Woopra,iFusion Labs LLC,Cookies via JavaScript,1.2,Free - $999+/month
17,Yahoo! Web Analytics,Yahoo!,Cookies via JavaScript,Not available anymore,Free
18,Yandex.Metrica,Yandex,Cookies via JavaScript,,Free
