,License,Software,Description,Name,Type,Software - #,Contact
0,GPL3+,,,,,,
1,GPL3+,,,,,,
2,GPL3+,,,,,,
3,GPL3+,,,,,,
4,GPL3+,,,,,,
5,GPL3+,,,,,,
6,GPL3+,,,,,,
7,LGPL3+,,,,,,
8,Free to use,,,,,,
9,Free to use,,,,,,
10,GPL3+,,,,,,
11,Free to use,,,,,,
12,"Free software, CC BY-NC-ND 4.0",,,,,,
13,Proprietary,,,,,,
14,Proprietary,,,,,,
15,Proprietary,,,,,,
16,Proprietary,,,,,,
17,Proprietary,,,,,,
18,Proprietary,,,,,,
19,Proprietary,,,,,,
20,Commercial software,,,,,,
21,Freemium,,,,,,
22,Commercial software,,,,,,
23,Commercial software,,,,,,
24,Commercial software,,,,,,
25,Commercial software,,,,,,
26,Commercial software,,,,,,
27,Commercial software,,,,,,
28,Freeware,,,,,,
29,Commercial software,,,,,,
30,Commercial software,,,,,,
31,GNU General Public License +,,,,,,
32,Commercial software,,,,,,
33,Commercial software,,,,,,
34,GNU GPLv2 +,,,,,,
35,Commercial software,,,,,,
36,Commercial software,,,,,,
37,Commercial software,,,,,,
38,Commercial software,,,,,,
39,Commercial software,,,,,,
40,Commercial software,,,,,,
41,Commercial software,,,,,,
42,Commercial software,,,,,,
43,GNU GPLv2+,,,,,,
44,Commercial software,,,,,,
45,GNU LGPL and BSD,,,,,,
46,Commercial software,,,,,,
47,Commercial software,,,,,,
48,Commercial software,,,,,,
49,Commercial software,,,,,,
50,Commercial software,,,,,,
51,Commercial software,,,,,,
52,Freemium,,,,,,
53,Freeware,,,,,,
54,Freemium,,,,,,
55,Commercial software,,,,,,
56,Commercial software,,,,,,
57,Freeware,,,,,,
58,Commercial software,,,,,,
59,GNU LGPL,,,,,,
60,Commercial software,,,,,,
61,Commercial software,,,,,,
62,Commercial software,,,,,,
63,Commercial software,,,,,,
64,Commercial software,,,,,,
65,Commercial software,,,,,,
66,Freemium,,,,,,
67,Commercial software,,,,,,
68,Commercial software,,,,,,
69,Commercial software,,,,,,
70,Freeware,,,,,,
71,Commercial software,,,,,,
72,Commercial software,,,,,,
73,Commercial software,,,,,,
74,Commercial software,,,,,,
75,GNU LGPL,,,,,,
76,GNU GPL,,,,,,
77,Commercial software,,,,,,
78,Commercial software,,,,,,
79,Commercial software,,,,,,
80,Commercial software,,,,,,
81,Commercial software,,,,,,
82,GNU GPL,,,,,,
83,Commercial software,,,,,,
84,Commercial software,,,,,,
85,Commercial software,,,,,,
86,Commercial software,,,,,,
87,Commercial software,,,,,,
88,Freeware,,,,,,
89,MIT,,,,,,
90,Freemium,,,,,,
91,Commercial software,,,,,,
92,Commercial software,,,,,,
93,Commercial software,,,,,,
94,Freemium,,,,,,
95,Commercial software,,,,,,
96,Commercial software,,,,,,
97,Commercial software,,,,,,
98,Commercial software,,,,,,
99,Commercial software,,,,,,
100,GNU GPL,,,,,,
101,Commercial software,,,,,,
102,Commercial software,,,,,,
103,Freeware,,,,,,
104,BSD,,,,,,
105,Commercial software,,,,,,
106,Commercial software,,,,,,
107,Commercial software,,,,,,
108,Commercial software,,,,,,
109,GPL,,,,,,
110,Freeware,,,,,,
111,GPL,,,,,,
